"","farmer_num","village","treatment","ose_num","att_mil","survey","abundance_response","abundance_se","abundance_df","abundance_lower.CL","abundance_upper.CL","att_mil_response","att_mil_se","att_mil_df","att_mil_lower.CL","att_mil_upper.CL"
"1",1,"Gossas","control",14,0.05,"s2",21.312328474039,1.93447555045157,344.104471922934,17.8277448205464,25.478003502824,0.0783723279528511,0.00878702498480443,92.9943998955462,0.0627290505794962,0.0979167025804933
"2",1,"Gossas","control",29,NA,"s3",21.312328474039,1.93447555045157,344.104471922934,17.8277448205464,25.478003502824,0.0783723279528511,0.00878702498480443,92.9943998955462,0.0627290505794962,0.0979167025804933
"3",1,"Gossas","control",NA,NA,"s4",21.312328474039,1.93447555045157,344.104471922934,17.8277448205464,25.478003502824,0.0783723279528511,0.00878702498480443,92.9943998955462,0.0627290505794962,0.0979167025804933
"4",1,"Gossas","fertilized",12,0.05,"s2",12.7123351929411,1.13449993126592,344.104471922934,10.6657784629589,15.1515866018518,0.0265224298430786,0.0045611689003031,92.9943998955462,0.0188494585755348,0.0373188058406112
"5",1,"Gossas","fertilized",15,NA,"s3",12.7123351929411,1.13449993126592,344.104471922934,10.6657784629589,15.1515866018518,0.0265224298430786,0.0045611689003031,92.9943998955462,0.0188494585755348,0.0373188058406112
"6",1,"Gossas","fertilized",NA,NA,"s4",12.7123351929411,1.13449993126592,344.104471922934,10.6657784629589,15.1515866018518,0.0265224298430786,0.0045611689003031,92.9943998955462,0.0188494585755348,0.0373188058406112
"7",2,"Gossas","control",14,NA,"s2",21.312328474039,1.93447555045157,344.104471922934,17.8277448205464,25.478003502824,0.0783723279528511,0.00878702498480443,92.9943998955462,0.0627290505794962,0.0979167025804933
"8",2,"Gossas","control",20,0.05,"s3",21.312328474039,1.93447555045157,344.104471922934,17.8277448205464,25.478003502824,0.0783723279528511,0.00878702498480443,92.9943998955462,0.0627290505794962,0.0979167025804933
"9",2,"Gossas","control",NA,NA,"s4",21.312328474039,1.93447555045157,344.104471922934,17.8277448205464,25.478003502824,0.0783723279528511,0.00878702498480443,92.9943998955462,0.0627290505794962,0.0979167025804933
"10",2,"Gossas","fertilized",30,NA,"s2",12.7123351929411,1.13449993126592,344.104471922934,10.6657784629589,15.1515866018518,0.0265224298430786,0.0045611689003031,92.9943998955462,0.0188494585755348,0.0373188058406112
"11",2,"Gossas","fertilized",6,0,"s3",12.7123351929411,1.13449993126592,344.104471922934,10.6657784629589,15.1515866018518,0.0265224298430786,0.0045611689003031,92.9943998955462,0.0188494585755348,0.0373188058406112
"12",2,"Gossas","fertilized",NA,NA,"s4",12.7123351929411,1.13449993126592,344.104471922934,10.6657784629589,15.1515866018518,0.0265224298430786,0.0045611689003031,92.9943998955462,0.0188494585755348,0.0373188058406112
"13",3,"Gossas","control",14,NA,"s2",21.312328474039,1.93447555045157,344.104471922934,17.8277448205464,25.478003502824,0.0783723279528511,0.00878702498480443,92.9943998955462,0.0627290505794962,0.0979167025804933
